Date,Open,High,Low,Close,Adj Close,Volume,Symbol
26-05-2020,1448.15,1449.70,1416.30,1424.05,1409.93,15329472.00,RELIANCE.NS
26-05-2020,821.90,842.70,821.00,825.55,783.84,4335209.00,LT.NS
26-05-2020,125.85,128.00,125.00,127.25,93.57,6182999.00,COALINDIA.NS
26-05-2020,857.00,871.75,848.75,852.40,829.46,19002576.00,HDFCBANK.NS
26-05-2020,296.05,297.90,290.00,292.70,290.10,46681705.00,ICICIBANK.NS
26-05-2020,152.40,153.20,150.20,151.40,147.71,48275988.00,SBIN.NS
26-05-2020,51.07,51.90,50.77,51.43,41.13,23229154.00,IOC.NS
26-05-2020,342.00,347.70,336.35,341.30,340.78,30692834.00,AXISBANK.NS
26-05-2020,77.00,78.20,76.60,77.00,64.45,11837966.00,ONGC.NS
26-05-2020,5200.00,5285.80,5160.65,5246.15,5132.65,1508751.00,MARUTI.NS
26-05-2020,189.00,193.20,185.70,188.80,186.06,5911134.00,WIPRO.NS
26-05-2020,530.00,536.50,520.25,524.00,468.70,4055691.00,HCLTECH.NS
26-05-2020,2004.95,2020.00,1975.00,1977.80,1871.54,4628932.00,HINDUNILVR.NS
26-05-2020,693.00,699.45,679.00,680.55,637.62,7099606.00,INFY.NS
27-05-2020,296.10,321.95,294.85,318.85,316.02,80541990.00,ICICIBANK.NS
27-05-2020,529.70,533.90,516.00,530.95,474.91,4828798.00,HCLTECH.NS
27-05-2020,5270.00,5291.00,5135.40,5244.40,5130.94,1534655.00,MARUTI.NS
27-05-2020,686.05,709.20,675.00,705.45,660.94,8774636.00,INFY.NS
27-05-2020,77.20,78.20,75.90,77.95,65.25,11655865.00,ONGC.NS
27-05-2020,127.25,131.35,126.00,130.80,96.18,6084254.00,COALINDIA.NS
27-05-2020,1990.00,2005.10,1961.00,1998.10,1890.75,4261645.00,HINDUNILVR.NS
27-05-2020,859.90,909.80,857.15,903.65,879.33,28012877.00,HDFCBANK.NS
27-05-2020,831.95,857.20,827.00,850.85,807.86,5159287.00,LT.NS
27-05-2020,1431.00,1454.00,1412.00,1445.55,1431.22,16460756.00,RELIANCE.NS
27-05-2020,346.10,392.45,341.50,387.00,386.41,72430787.00,AXISBANK.NS
27-05-2020,151.95,160.80,150.80,158.60,154.73,88195120.00,SBIN.NS
27-05-2020,189.60,205.50,187.70,201.25,198.33,18082968.00,WIPRO.NS
27-05-2020,51.47,51.97,50.67,51.70,41.34,21470166.00,IOC.NS
28-05-2020,531.00,546.00,523.00,542.65,485.38,4492767.00,HCLTECH.NS
28-05-2020,1455.00,1479.75,1449.00,1472.25,1457.65,18518271.00,RELIANCE.NS
28-05-2020,159.45,162.40,156.70,158.20,154.34,76968678.00,SBIN.NS
28-05-2020,203.50,203.50,196.05,199.35,196.46,12347623.00,WIPRO.NS
28-05-2020,920.00,950.00,913.95,945.25,919.81,37744403.00,HDFCBANK.NS
28-05-2020,130.85,134.30,129.30,133.90,98.46,7882781.00,COALINDIA.NS
28-05-2020,5267.00,5495.00,5220.00,5468.35,5350.04,2325084.00,MARUTI.NS
28-05-2020,77.50,80.95,77.40,78.85,66.00,18645811.00,ONGC.NS
28-05-2020,2000.00,2015.00,1990.00,2009.95,1901.96,5500796.00,HINDUNILVR.NS
28-05-2020,855.00,912.00,855.00,905.50,859.75,11481079.00,LT.NS
28-05-2020,390.00,407.65,387.00,390.95,390.36,72693713.00,AXISBANK.NS
28-05-2020,707.00,710.00,690.00,707.40,662.77,9440091.00,INFY.NS
28-05-2020,51.60,52.53,51.47,51.80,41.42,14966770.00,IOC.NS
28-05-2020,322.25,329.75,320.75,326.85,323.95,66136408.00,ICICIBANK.NS
29-05-2020,5375.00,5666.75,5375.00,5610.80,5489.41,3386733.00,MARUTI.NS
29-05-2020,78.05,83.75,77.40,83.20,69.64,40559441.00,ONGC.NS
29-05-2020,51.80,56.47,51.47,55.47,44.36,51853494.00,IOC.NS
29-05-2020,156.10,161.90,155.20,161.30,157.37,58363280.00,SBIN.NS
29-05-2020,2009.00,2068.00,2000.00,2057.35,1946.81,8778345.00,HINDUNILVR.NS
29-05-2020,382.00,389.25,375.35,384.95,384.36,51056390.00,AXISBANK.NS
29-05-2020,199.35,214.90,196.15,212.80,209.71,30630211.00,WIPRO.NS
29-05-2020,692.50,700.80,674.95,691.00,656.22,28290128.00,INFY.NS
29-05-2020,893.20,937.50,891.00,932.25,885.15,10166556.00,LT.NS
29-05-2020,133.50,142.45,132.25,141.30,103.90,16208002.00,COALINDIA.NS
29-05-2020,322.90,334.30,320.00,331.95,329.01,60487477.00,ICICIBANK.NS
29-05-2020,944.00,955.00,923.45,951.65,926.04,26512583.00,HDFCBANK.NS
29-05-2020,540.00,555.00,536.70,550.25,492.18,7853755.00,HCLTECH.NS
29-05-2020,1468.00,1472.00,1452.65,1464.40,1449.88,18470390.00,RELIANCE.NS
01-06-2020,339.00,348.00,336.20,339.25,336.24,44024770.00,ICICIBANK.NS
01-06-2020,394.30,409.50,392.55,396.95,396.35,44252980.00,AXISBANK.NS
01-06-2020,698.75,706.65,691.50,699.55,664.34,12276438.00,INFY.NS
01-06-2020,2075.00,2143.00,2071.20,2108.55,1995.26,6592547.00,HINDUNILVR.NS
01-06-2020,944.65,974.15,924.00,928.15,881.25,7617144.00,LT.NS
01-06-2020,85.00,86.50,83.65,83.95,70.27,25047349.00,ONGC.NS
01-06-2020,142.10,149.75,141.55,148.55,109.23,21204876.00,COALINDIA.NS
01-06-2020,557.00,573.40,555.50,559.75,500.67,4503261.00,HCLTECH.NS
01-06-2020,56.87,58.17,56.33,57.43,45.93,44693584.00,IOC.NS
01-06-2020,5690.00,5864.65,5666.90,5793.60,5668.25,2340994.00,MARUTI.NS
01-06-2020,164.00,171.40,163.35,170.05,165.91,92740893.00,SBIN.NS
01-06-2020,975.00,995.00,966.10,987.65,961.07,19595115.00,HDFCBANK.NS
01-06-2020,1480.00,1538.35,1475.95,1520.35,1505.27,18434012.00,RELIANCE.NS
01-06-2020,215.50,221.00,213.40,215.05,211.93,13374624.00,WIPRO.NS
02-06-2020,149.15,149.15,143.00,143.40,105.44,16679738.00,COALINDIA.NS
02-06-2020,700.50,711.65,697.55,708.10,672.46,7059304.00,INFY.NS
02-06-2020,337.00,350.00,332.50,348.40,345.31,47558213.00,ICICIBANK.NS
02-06-2020,84.45,84.90,82.60,84.30,70.56,15367928.00,ONGC.NS
02-06-2020,57.73,57.90,56.50,57.20,45.74,26984125.00,IOC.NS
02-06-2020,935.00,953.00,913.05,945.45,897.68,7325471.00,LT.NS
02-06-2020,398.00,415.00,391.55,410.10,409.48,37508638.00,AXISBANK.NS
02-06-2020,2122.00,2125.00,2090.00,2107.40,1994.17,3268728.00,HINDUNILVR.NS
02-06-2020,1526.00,1540.00,1520.80,1535.70,1520.47,10224049.00,RELIANCE.NS
02-06-2020,986.70,1005.00,975.20,1001.00,974.06,20811797.00,HDFCBANK.NS
02-06-2020,559.30,567.75,550.00,560.20,501.08,2930058.00,HCLTECH.NS
02-06-2020,5797.75,5849.00,5625.10,5690.10,5566.99,2110719.00,MARUTI.NS
02-06-2020,169.90,171.30,167.20,170.25,166.10,70419104.00,SBIN.NS
02-06-2020,215.10,218.55,210.95,215.85,212.72,6406277.00,WIPRO.NS
03-06-2020,2115.00,2149.00,2085.00,2120.50,2006.57,4895117.00,HINDUNILVR.NS
03-06-2020,172.50,179.90,172.00,174.90,170.64,113168889.00,SBIN.NS
03-06-2020,357.90,373.00,353.80,356.85,353.69,69689299.00,ICICIBANK.NS
03-06-2020,1020.00,1046.25,1015.45,1022.25,994.74,25273044.00,HDFCBANK.NS
03-06-2020,955.95,972.85,955.00,961.30,912.73,4651554.00,LT.NS
03-06-2020,145.00,145.10,141.10,141.70,104.19,11560484.00,COALINDIA.NS
03-06-2020,1545.00,1560.00,1533.35,1541.65,1526.36,11713461.00,RELIANCE.NS
03-06-2020,710.70,711.90,696.00,701.55,666.24,11378568.00,INFY.NS
03-06-2020,422.00,432.00,405.25,409.55,408.93,49055899.00,AXISBANK.NS
03-06-2020,57.53,59.27,57.40,58.00,46.38,29209218.00,IOC.NS
03-06-2020,5730.00,5832.00,5606.00,5624.00,5502.32,1652859.00,MARUTI.NS
03-06-2020,86.05,87.45,85.30,86.30,72.24,23936651.00,ONGC.NS
03-06-2020,216.10,217.45,210.55,211.35,208.28,8422101.00,WIPRO.NS
03-06-2020,564.00,568.40,557.00,562.80,503.40,4202273.00,HCLTECH.NS
04-06-2020,85.00,86.05,84.00,84.90,71.07,15120972.00,ONGC.NS
04-06-2020,5658.00,5719.95,5572.00,5690.20,5567.09,1642049.00,MARUTI.NS
04-06-2020,2115.00,2132.40,2105.25,2120.60,2006.66,3264730.00,HINDUNILVR.NS
04-06-2020,57.37,57.77,56.07,57.27,45.80,43910230.00,IOC.NS
04-06-2020,141.00,142.60,139.35,140.25,103.13,6295232.00,COALINDIA.NS
04-06-2020,1544.00,1589.50,1541.00,1579.80,1564.13,15784379.00,RELIANCE.NS
04-06-2020,174.90,177.65,171.50,174.05,169.81,83494674.00,SBIN.NS
04-06-2020,565.00,583.70,559.00,578.95,517.85,5315353.00,HCLTECH.NS
04-06-2020,961.05,968.00,928.60,930.70,883.67,5355931.00,LT.NS
04-06-2020,407.60,413.90,391.55,394.35,393.75,45553578.00,AXISBANK.NS
04-06-2020,702.00,709.45,697.50,707.75,672.13,10782424.00,INFY.NS
04-06-2020,211.35,219.95,210.15,216.25,213.11,7397468.00,WIPRO.NS
04-06-2020,357.00,363.00,345.50,347.85,344.77,57061575.00,ICICIBANK.NS
04-06-2020,1028.05,1038.95,991.10,1001.70,974.74,27137941.00,HDFCBANK.NS
05-06-2020,707.00,711.70,700.60,703.55,668.14,7718679.00,INFY.NS
05-06-2020,85.10,88.80,85.00,86.95,72.78,18202925.00,ONGC.NS
05-06-2020,220.00,220.25,215.00,218.75,215.57,7245584.00,WIPRO.NS
05-06-2020,5728.30,5785.00,5671.10,5746.20,5621.88,1236658.00,MARUTI.NS
05-06-2020,2124.00,2128.00,2085.00,2087.60,1975.44,2981853.00,HINDUNILVR.NS
05-06-2020,141.00,145.75,140.50,144.85,106.51,11872471.00,COALINDIA.NS
05-06-2020,57.73,60.03,57.47,59.60,47.66,36188166.00,IOC.NS
05-06-2020,176.55,189.80,176.00,187.80,183.22,201321234.00,SBIN.NS
05-06-2020,940.00,959.90,936.60,955.25,906.98,6071040.00,LT.NS
05-06-2020,1595.00,1618.00,1573.70,1581.70,1566.02,15264885.00,RELIANCE.NS
05-06-2020,1003.10,1042.40,1002.80,1033.35,1005.54,17597992.00,HDFCBANK.NS
05-06-2020,585.00,587.15,572.50,575.95,515.16,3995824.00,HCLTECH.NS
05-06-2020,399.00,409.90,390.50,405.30,404.68,39002875.00,AXISBANK.NS
05-06-2020,350.00,360.00,347.00,357.20,354.03,37251097.00,ICICIBANK.NS
08-06-2020,197.00,197.50,185.80,186.80,182.25,151741826.00,SBIN.NS
08-06-2020,61.93,64.27,61.40,62.07,49.63,59083390.00,IOC.NS
08-06-2020,219.00,227.30,215.85,226.45,223.16,12213696.00,WIPRO.NS
08-06-2020,5850.00,5850.00,5701.50,5734.80,5610.73,1176769.00,MARUTI.NS
08-06-2020,1060.00,1066.65,1006.40,1015.90,988.56,24906332.00,HDFCBANK.NS
08-06-2020,579.15,583.50,571.05,578.25,517.22,3771973.00,HCLTECH.NS
08-06-2020,148.00,148.95,144.75,146.70,107.87,11258686.00,COALINDIA.NS
08-06-2020,366.55,373.75,353.15,359.80,356.61,46827341.00,ICICIBANK.NS
08-06-2020,90.00,93.10,89.20,90.95,76.13,32511374.00,ONGC.NS
08-06-2020,707.65,725.80,704.00,720.85,684.57,10719105.00,INFY.NS
08-06-2020,2107.00,2124.50,2078.10,2111.70,1998.24,4298456.00,HINDUNILVR.NS
08-06-2020,415.00,444.75,414.00,430.25,429.60,60387580.00,AXISBANK.NS
08-06-2020,1618.40,1618.40,1565.00,1569.50,1553.94,14497996.00,RELIANCE.NS
08-06-2020,979.50,995.00,949.00,961.35,912.78,9858804.00,LT.NS
09-06-2020,720.00,729.60,715.05,717.60,681.48,10078029.00,INFY.NS
09-06-2020,1560.30,1583.00,1533.00,1537.15,1521.91,11933076.00,RELIANCE.NS
09-06-2020,360.05,369.35,345.25,348.55,345.46,47621969.00,ICICIBANK.NS
09-06-2020,1020.00,1026.75,979.55,987.30,960.73,30922073.00,HDFCBANK.NS
09-06-2020,434.95,442.50,416.50,420.05,419.41,46273705.00,AXISBANK.NS
09-06-2020,964.50,970.25,949.70,953.30,905.13,5117749.00,LT.NS
09-06-2020,187.70,191.00,183.35,184.45,179.95,96654191.00,SBIN.NS
09-06-2020,574.15,583.60,570.00,572.85,512.39,3812291.00,HCLTECH.NS
09-06-2020,147.95,147.95,143.65,144.30,106.10,6957064.00,COALINDIA.NS
09-06-2020,224.10,226.30,217.15,218.35,215.18,7845252.00,WIPRO.NS
09-06-2020,62.23,62.40,60.07,60.43,48.33,25168882.00,IOC.NS
09-06-2020,91.95,92.40,89.35,90.00,75.33,16702413.00,ONGC.NS
09-06-2020,2100.00,2144.80,2095.05,2106.50,1993.32,3127904.00,HINDUNILVR.NS
09-06-2020,5754.00,5787.00,5620.00,5662.30,5539.79,1336806.00,MARUTI.NS
10-06-2020,220.00,221.05,215.60,217.00,213.85,7393646.00,WIPRO.NS
10-06-2020,144.00,144.75,140.20,140.70,103.46,8914993.00,COALINDIA.NS
10-06-2020,1543.10,1579.55,1540.05,1572.15,1556.56,10214213.00,RELIANCE.NS
10-06-2020,990.00,999.85,978.20,991.85,965.16,18248865.00,HDFCBANK.NS
10-06-2020,348.55,356.85,345.30,353.00,349.87,36292403.00,ICICIBANK.NS
10-06-2020,575.00,587.50,573.60,578.70,517.62,6491708.00,HCLTECH.NS
10-06-2020,5655.00,5740.00,5615.00,5675.60,5552.81,1432292.00,MARUTI.NS
10-06-2020,422.20,432.70,415.30,427.45,426.80,36163051.00,AXISBANK.NS
10-06-2020,184.55,189.00,183.80,187.70,183.13,67333317.00,SBIN.NS
10-06-2020,715.00,719.45,709.20,715.85,679.82,7263049.00,INFY.NS
10-06-2020,90.60,91.50,87.70,88.25,73.87,17382514.00,ONGC.NS
10-06-2020,957.00,959.50,935.70,946.55,898.72,5175923.00,LT.NS
10-06-2020,2115.90,2130.00,2096.00,2119.60,2005.72,2421659.00,HINDUNILVR.NS
10-06-2020,60.40,61.30,59.40,59.97,47.95,20502175.00,IOC.NS
11-06-2020,1566.00,1567.95,1531.00,1537.70,1522.45,9408046.00,RELIANCE.NS
11-06-2020,985.00,988.40,965.00,968.60,942.53,15448857.00,HDFCBANK.NS
11-06-2020,352.45,354.20,340.10,341.25,338.22,36999490.00,ICICIBANK.NS
11-06-2020,426.50,435.55,408.70,413.45,412.82,45562670.00,AXISBANK.NS
11-06-2020,2115.00,2138.20,2095.65,2106.90,1993.70,2566927.00,HINDUNILVR.NS
11-06-2020,580.00,584.90,574.10,578.05,517.04,4975680.00,HCLTECH.NS
11-06-2020,5637.00,5689.00,5400.30,5426.15,5308.75,1766481.00,MARUTI.NS
11-06-2020,88.30,89.55,86.50,86.90,72.74,14275999.00,ONGC.NS
11-06-2020,60.07,62.23,58.60,58.90,47.10,44547292.00,IOC.NS
11-06-2020,188.00,190.40,176.35,177.15,172.83,91726802.00,SBIN.NS
11-06-2020,140.85,142.90,137.50,137.70,101.25,9259185.00,COALINDIA.NS
11-06-2020,944.00,952.00,928.20,930.45,883.44,3602957.00,LT.NS
11-06-2020,712.00,713.40,700.25,703.95,668.52,8825715.00,INFY.NS
11-06-2020,217.00,217.65,212.35,212.90,209.81,6248745.00,WIPRO.NS
12-06-2020,208.00,209.50,206.30,207.90,204.88,6209344.00,WIPRO.NS
12-06-2020,675.80,695.15,675.50,692.05,657.22,9795316.00,INFY.NS
12-06-2020,555.20,578.70,555.20,570.75,510.51,6624056.00,HCLTECH.NS
12-06-2020,890.00,929.90,890.00,926.40,879.59,5411314.00,LT.NS
12-06-2020,928.00,986.65,928.00,982.75,956.30,21322438.00,HDFCBANK.NS
12-06-2020,133.10,135.55,132.70,134.65,99.01,8424817.00,COALINDIA.NS
12-06-2020,1500.00,1593.00,1497.00,1588.80,1573.05,17790311.00,RELIANCE.NS
12-06-2020,390.00,412.50,389.15,408.00,407.38,47813512.00,AXISBANK.NS
12-06-2020,81.55,84.20,81.55,83.90,70.23,20601082.00,ONGC.NS
12-06-2020,324.20,346.15,324.10,344.20,341.15,47509067.00,ICICIBANK.NS
12-06-2020,2065.25,2119.00,2065.00,2107.25,1994.03,2338438.00,HINDUNILVR.NS
12-06-2020,56.67,59.03,56.67,58.87,47.07,32426287.00,IOC.NS
12-06-2020,170.00,180.00,169.80,179.15,174.78,92758901.00,SBIN.NS
12-06-2020,5201.00,5608.30,5201.00,5561.75,5441.42,2064628.00,MARUTI.NS
15-06-2020,693.00,704.40,685.25,687.55,652.94,7857344.00,INFY.NS
15-06-2020,405.95,405.95,383.65,389.60,389.01,39577100.00,AXISBANK.NS
15-06-2020,574.80,581.00,563.70,578.95,517.85,3787100.00,HCLTECH.NS
15-06-2020,84.00,85.90,83.00,84.10,70.40,17274210.00,ONGC.NS
15-06-2020,2114.85,2131.70,2056.80,2084.30,1972.31,2830788.00,HINDUNILVR.NS
15-06-2020,921.80,929.45,894.10,899.90,854.43,4982324.00,LT.NS
15-06-2020,134.70,135.00,130.50,132.10,97.13,8217803.00,COALINDIA.NS
15-06-2020,177.85,177.85,172.00,173.70,169.47,63613412.00,SBIN.NS
15-06-2020,5520.00,5585.00,5391.05,5475.75,5357.28,1530562.00,MARUTI.NS
15-06-2020,58.77,58.80,57.27,57.47,45.96,52647790.00,IOC.NS
15-06-2020,1565.00,1626.95,1561.10,1614.55,1598.54,24509058.00,RELIANCE.NS
15-06-2020,341.20,342.25,325.50,331.10,328.16,43500660.00,ICICIBANK.NS
15-06-2020,211.95,217.90,208.15,213.80,210.70,14255725.00,WIPRO.NS
15-06-2020,968.00,974.00,943.00,949.85,924.29,16004968.00,HDFCBANK.NS
16-06-2020,404.90,405.00,360.40,381.55,380.97,96186227.00,AXISBANK.NS
16-06-2020,85.50,85.75,82.35,83.90,70.23,13467530.00,ONGC.NS
16-06-2020,2109.80,2120.00,2057.00,2076.35,1964.79,2806772.00,HINDUNILVR.NS
16-06-2020,342.25,347.90,326.05,342.95,339.91,57511237.00,ICICIBANK.NS
16-06-2020,585.00,593.50,578.40,580.90,519.59,4728405.00,HCLTECH.NS
16-06-2020,1643.00,1648.55,1585.30,1617.70,1601.66,23622794.00,RELIANCE.NS
16-06-2020,975.00,993.95,952.00,990.40,963.75,22699985.00,HDFCBANK.NS
16-06-2020,58.23,58.83,55.90,56.57,45.24,27930165.00,IOC.NS
16-06-2020,920.00,924.70,891.15,895.05,849.83,4661460.00,LT.NS
16-06-2020,134.50,135.00,129.55,131.15,96.44,7130557.00,COALINDIA.NS
16-06-2020,178.00,178.95,169.40,172.90,168.69,63925976.00,SBIN.NS
16-06-2020,5590.00,5612.55,5400.00,5502.20,5383.16,1184933.00,MARUTI.NS
16-06-2020,217.45,217.90,209.60,212.40,209.32,7960856.00,WIPRO.NS
16-06-2020,702.00,712.00,699.15,701.20,665.91,10131760.00,INFY.NS
17-06-2020,83.60,84.75,83.20,84.20,70.48,15440371.00,ONGC.NS
17-06-2020,989.00,998.90,973.25,979.25,952.90,18478919.00,HDFCBANK.NS
17-06-2020,2076.00,2099.00,2062.30,2078.25,1966.59,2293301.00,HINDUNILVR.NS
17-06-2020,5445.00,5813.45,5445.00,5726.20,5602.31,3454833.00,MARUTI.NS
17-06-2020,338.60,351.00,336.10,341.95,338.92,37107002.00,ICICIBANK.NS
17-06-2020,212.00,218.75,211.05,217.80,214.64,13969454.00,WIPRO.NS
17-06-2020,892.70,899.75,881.10,884.80,840.09,4681085.00,LT.NS
17-06-2020,699.90,710.30,698.00,703.65,668.23,7291916.00,INFY.NS
17-06-2020,377.45,397.75,375.30,389.60,389.01,56949066.00,AXISBANK.NS
17-06-2020,580.00,581.85,573.00,575.85,515.07,3572351.00,HCLTECH.NS
17-06-2020,131.15,133.90,129.10,129.45,95.19,9071758.00,COALINDIA.NS
17-06-2020,1608.25,1635.45,1602.10,1615.35,1599.33,19282411.00,RELIANCE.NS
17-06-2020,171.00,176.20,169.25,172.95,168.73,73866905.00,SBIN.NS
17-06-2020,56.33,57.23,55.90,56.23,44.97,18840036.00,IOC.NS
18-06-2020,571.20,583.80,570.10,578.95,517.85,1918229.00,HCLTECH.NS
18-06-2020,708.20,716.60,706.00,713.90,677.97,6670195.00,INFY.NS
18-06-2020,216.80,219.30,214.65,218.15,214.98,6204213.00,WIPRO.NS
18-06-2020,340.00,354.70,337.20,352.00,348.88,39285919.00,ICICIBANK.NS
18-06-2020,876.00,900.00,874.00,896.65,851.34,5869802.00,LT.NS
18-06-2020,386.00,408.05,384.00,405.40,404.78,43773580.00,AXISBANK.NS
18-06-2020,129.00,139.70,128.15,137.60,101.18,34586616.00,COALINDIA.NS
18-06-2020,83.00,83.95,81.80,83.60,69.98,18460298.00,ONGC.NS
18-06-2020,172.40,180.65,171.10,179.65,175.27,58261857.00,SBIN.NS
18-06-2020,1607.00,1665.00,1605.60,1655.90,1639.48,18677617.00,RELIANCE.NS
18-06-2020,56.20,57.00,55.83,56.57,45.24,22264542.00,IOC.NS
18-06-2020,5695.00,5758.00,5641.00,5714.40,5590.77,1580214.00,MARUTI.NS
18-06-2020,2070.25,2084.85,2054.05,2065.35,1954.38,2326907.00,HINDUNILVR.NS
18-06-2020,980.00,1024.90,972.00,1019.95,992.50,20435063.00,HDFCBANK.NS
19-06-2020,574.00,578.00,567.20,569.60,509.48,6182627.00,HCLTECH.NS
19-06-2020,902.00,915.90,895.10,898.20,852.82,5409996.00,LT.NS
19-06-2020,2079.00,2100.00,2057.00,2092.75,1993.83,4673528.00,HINDUNILVR.NS
19-06-2020,1017.95,1043.00,1012.15,1033.35,1005.54,23938876.00,HDFCBANK.NS
19-06-2020,140.00,140.00,135.20,137.25,100.92,17468335.00,COALINDIA.NS
19-06-2020,218.00,224.10,215.00,222.05,218.83,11223677.00,WIPRO.NS
19-06-2020,57.33,57.40,56.47,56.87,45.48,32306059.00,IOC.NS
19-06-2020,351.00,365.45,349.20,363.80,360.57,51367236.00,ICICIBANK.NS
19-06-2020,85.50,86.30,84.30,85.75,71.78,21920473.00,ONGC.NS
19-06-2020,5751.00,5935.00,5707.00,5897.35,5769.76,1854589.00,MARUTI.NS
19-06-2020,709.00,711.90,701.00,705.55,670.04,22438862.00,INFY.NS
19-06-2020,407.50,422.30,407.50,417.05,416.42,52085319.00,AXISBANK.NS
19-06-2020,180.30,184.95,179.50,184.50,180.00,76895151.00,SBIN.NS
19-06-2020,1670.00,1788.80,1662.00,1759.40,1741.95,48828609.00,RELIANCE.NS
22-06-2020,2110.00,2118.90,2087.00,2100.80,2001.50,2487234.00,HINDUNILVR.NS
22-06-2020,575.00,576.65,565.40,569.60,509.48,2666273.00,HCLTECH.NS
22-06-2020,1039.45,1045.95,1023.80,1028.75,1001.06,14847237.00,HDFCBANK.NS
22-06-2020,185.00,191.75,184.25,187.70,183.13,80023958.00,SBIN.NS
22-06-2020,57.23,58.87,57.00,58.70,46.94,33907947.00,IOC.NS
22-06-2020,137.25,143.95,137.10,143.65,105.63,19716275.00,COALINDIA.NS
22-06-2020,905.00,916.00,896.00,907.45,861.60,6839642.00,LT.NS
22-06-2020,1773.40,1804.20,1735.00,1746.15,1728.83,27781693.00,RELIANCE.NS
22-06-2020,420.00,435.90,418.10,430.15,429.50,40454004.00,AXISBANK.NS
22-06-2020,367.00,375.25,365.15,367.55,364.29,40133602.00,ICICIBANK.NS
22-06-2020,86.10,86.20,84.10,84.85,71.02,19227535.00,ONGC.NS
22-06-2020,221.15,221.75,216.80,218.05,214.88,6480903.00,WIPRO.NS
22-06-2020,5900.00,5975.00,5806.35,5896.00,5768.44,1497563.00,MARUTI.NS
22-06-2020,707.10,708.70,700.00,703.70,668.28,7804096.00,INFY.NS
23-06-2020,430.50,445.00,430.40,443.65,442.98,30757220.00,AXISBANK.NS
23-06-2020,85.50,86.50,84.40,85.65,71.69,23440997.00,ONGC.NS
23-06-2020,5900.00,6007.20,5862.55,5886.50,5759.14,1398070.00,MARUTI.NS
23-06-2020,144.95,146.75,143.20,143.85,105.77,10955603.00,COALINDIA.NS
23-06-2020,1039.00,1045.00,1016.55,1042.30,1014.25,14415256.00,HDFCBANK.NS
23-06-2020,189.60,193.10,187.85,192.45,187.76,65487085.00,SBIN.NS
23-06-2020,1750.00,1763.75,1716.10,1720.90,1703.84,17519493.00,RELIANCE.NS
23-06-2020,569.70,583.50,563.75,580.25,519.01,4521803.00,HCLTECH.NS
23-06-2020,59.20,60.33,58.77,59.57,47.63,47684919.00,IOC.NS
23-06-2020,910.00,970.00,909.00,967.60,918.71,14580218.00,LT.NS
23-06-2020,369.00,378.30,364.20,376.15,372.81,32493320.00,ICICIBANK.NS
23-06-2020,215.00,222.30,213.00,220.60,217.40,7425149.00,WIPRO.NS
23-06-2020,695.70,724.50,692.10,720.65,684.38,12157390.00,INFY.NS
23-06-2020,2115.00,2172.00,2101.60,2155.95,2054.04,4308814.00,HINDUNILVR.NS
24-06-2020,60.33,60.33,57.37,58.07,46.43,44463766.00,IOC.NS
24-06-2020,979.00,989.90,952.00,955.55,907.27,11985132.00,LT.NS
24-06-2020,145.70,146.45,140.75,141.55,104.08,10639459.00,COALINDIA.NS
24-06-2020,380.00,380.00,345.00,348.10,345.01,57955780.00,ICICIBANK.NS
24-06-2020,194.80,194.90,183.90,184.60,180.10,74668987.00,SBIN.NS
24-06-2020,224.00,224.00,217.55,218.20,215.03,8246086.00,WIPRO.NS
24-06-2020,1048.50,1057.50,1030.05,1032.50,1004.71,19714623.00,HDFCBANK.NS
24-06-2020,5938.00,5938.00,5730.00,5755.35,5630.83,1268449.00,MARUTI.NS
24-06-2020,716.90,726.80,709.40,714.15,678.20,10220838.00,INFY.NS
24-06-2020,2172.00,2176.90,2125.00,2130.30,2029.60,3023015.00,HINDUNILVR.NS
24-06-2020,575.00,579.80,554.40,559.60,500.54,5339893.00,HCLTECH.NS
24-06-2020,1735.90,1772.70,1711.70,1727.85,1710.72,23807033.00,RELIANCE.NS
24-06-2020,86.25,86.65,82.55,83.10,69.56,33080229.00,ONGC.NS
24-06-2020,448.00,448.50,422.20,424.65,424.00,33577082.00,AXISBANK.NS
25-06-2020,2114.30,2189.90,2112.00,2173.15,2070.43,8208033.00,HINDUNILVR.NS
25-06-2020,704.85,705.60,693.50,700.50,665.24,14945284.00,INFY.NS
25-06-2020,345.90,355.60,338.50,351.00,347.89,69902888.00,ICICIBANK.NS
25-06-2020,949.90,964.80,936.25,943.10,895.45,7508087.00,LT.NS
25-06-2020,56.80,58.73,56.47,56.70,45.34,38596161.00,IOC.NS
25-06-2020,419.00,428.70,410.35,421.70,421.06,49853200.00,AXISBANK.NS
25-06-2020,1021.90,1049.00,1007.00,1028.75,1001.06,35323395.00,HDFCBANK.NS
25-06-2020,1727.00,1749.00,1713.05,1717.90,1700.86,18312025.00,RELIANCE.NS
25-06-2020,557.60,560.70,548.00,550.05,492.00,6353371.00,HCLTECH.NS
25-06-2020,82.25,84.00,80.00,81.60,68.30,121277435.00,ONGC.NS
25-06-2020,5677.00,5846.80,5651.00,5762.30,5637.63,1266203.00,MARUTI.NS
25-06-2020,182.20,186.80,180.40,185.25,180.73,73620385.00,SBIN.NS
25-06-2020,216.95,222.00,215.30,218.20,215.03,5096846.00,WIPRO.NS
25-06-2020,140.35,143.65,138.35,140.40,103.24,33546602.00,COALINDIA.NS
